box	total.time	male.out.t	female.exit.t	together.t	incubating.t	nest.pick.t	male.food.call.t	female.begging.t	unknown.call.t	food.share.t	intruder.t	vigilance.t	male.out.p	female.exit.p	together.p	incubating.p	nest.pick.p	male.food.call.p	female.begging.p	unknown.call.p	food.share.p	intruder.p	vigilance.p	site	lay.date	lay.numeric	lay.plusmin	cl.size	hatch.date	hatch.numeric	n.hatch	egg.loss	fledge.date	fledge.numeric	n.ring	mass.ring	n.fledge	experiment.impact	fem.ID	frings	fem.age	f.age.exact	col.year.fem	male.ID	mrings	male.age	m.age.exact	col.yr.male	age.discrep	prev.box	max.chick	min.chick	total.chick	mean.chick
Z08	10002.48	8700.232	0	397.532	8470.657	1140.874	1.893	0	14.29	37	0	2	86.98074877	0	3.974334365	84.68556798	11.40591133	0.018925307	0	0.14286457	13.31669746	0	0.719821484	Pencoose	16/04/2023	16	TRUE	5	06/05/2023	36	3	0	NA	NA	0	NA	0	FALSE	J4510	GRMGZ	4	FALSE	3	J4535	BAMBAB	4	FALSE	3	FALSE	SAME	NA	NA	NA	NA
Z10	10155.109	7310.467	298.249	1816.528	8485.222	1052.201	0	13.818	0	8	0	0	71.98807024	2.936935487	17.88782375	83.55618832	10.36129696	0	0.136069441	0	2.836010918	0	0	Pencoose	21/04/2023	21	TRUE	4	09/05/2023	39	4	0	13/06/2023	74	2	440.3	1	FALSE	J42	YMGZW	11	TRUE	8	J1351	RZOBM	10	FALSE	8	FALSE	SAME	261.1	179.2	440.3	220.15
Z11	20656.571	16357.698	446.513	3379.796	17553.744	0	0	0	0	31	0	25	79.18883536	2.161602717	16.36184437	84.9789832	0	0	0	0	5.402639189	0	4.356967088	Pencoose	16/04/2023	16	TRUE	4	06/05/2023	36	4	0	11/06/2023	72	4	569.2	3	FALSE	J1964	RZMGP	8	TRUE	6	J595	YZMYZB	9	TRUE	8	TRUE 	SAME	183.2	113.4	569.2	142.3
Z13	21203.229	14678.645	299.906	4368.326	17178.793	1770.313	3.074	0	91.377	9	1	7	69.22834725	1.414435509	20.60217338	81.01970223	8.349261332	0.014497792	0	0.430957945	1.528069145	0.169785461	1.188498224	Pencoose	14/04/2023	14	TRUE	4	03/05/2023	33	1	3	NA	NA	1	172.5	0	FALSE	J2375	OMGV	10	FALSE	9	J837	WWBM	10	TRUE	9	FALSE	SAME	172.5	172.5	172.5	172.5
Z14	10696.302	8478.662	334.53	1236.104	8984.259	1680.426	5.811	25.808	0	6	0	3	79.26722712	3.127529496	11.5563678	83.99406636	15.7103455	0.054327187	0.24127965	0	2.019389505	0	1.009694752	Pencoose	21/04/2023	21	TRUE	4	10/05/2023	40	3	0	13/06/2023	74	2	410.6	2	FALSE	J41	YMYW	11	TRUE	9	J145	RMBZP	12	FALSE	11	TRUE 	Z09	233.8	176.8	410.6	205.3
Z15	18717.309	15340.519	327.604	2343.031	15844.967	0	0	0	0	8	0	11	81.95899849	1.750272969	12.5179907	84.65408676	0	0	0	0	1.538682724	0	2.115688746	Pencoose	17/04/2023	17	TRUE	5	07/05/2023	37	5	0	12/06/2023	73	2	361	2	FALSE	J164	BMWP	10	TRUE	9	J831	YRBM	10	TRUE	9	FALSE	SAME	194.1	166.9	361	180.5
Z16	20674.831	16066.836	147.52	3370.984	18257.585	1747.778	6.048	0	11.891	22	0	4	77.71205482	0.713524575	16.30477173	88.30826719	8.453650721	0.02925296	0	0.057514376	3.830744735	0	0.696499043	Pencoose	17/04/2023	17	TRUE	4	07/05/2023	37	4	0	14/06/2023	75	2	369.9	2	FALSE	J1001	GYBM	8	TRUE	8	J2077	MGYO	6	TRUE	4	FALSE	SAME	186.8	183.1	369.9	184.95
Z18	21340.666	19362.867	117.59	1578.028	18184.926	0	0	0	0	35	0	9	90.73225269	0.551013731	7.394464634	85.21255147	0	0	0	0	5.904220609	0	1.518228157	Pencoose	21/04/2023	21	TRUE	6	10/05/2023	40	4	1	NA	NA	1	162.8	0	FALSE	J1419	RZMSR	8	TRUE	7	J1065	GZPYM	8	TRUE	7	FALSE	SAME	162.8	162.8	162.8	162.8
Z19	10647.521	7512.837	737.67	2433.9	9179.949	1116.15	0	7.533	0	4	0	3	70.55949455	6.928091525	22.85884198	86.2167729	10.48272175	0	0.070748863	0	1.352427481	0	1.01432061	Pencoose	14/04/2023	14	TRUE	4	05/05/2023	35	4	0	08/06/2023	69	4	779	4	FALSE	J2680	YZMRB	5	TRUE	3	J2619	OZMRZY	5	TRUE	3	FALSE	NEW	226.1	163.1	779	194.75
Z21	20366.212	17794.351	1419.888	1508.276	15857.578	0	0	0	0	31	0	14	87.37192267	6.97178248	7.405775802	77.86218665	0	0	0	0	5.479664063	0	2.474686996	Pencoose	21/04/2023	21	TRUE	5	10/05/2023	40	5	0	13/06/2023	74	2	355.7	2	FALSE	J1783	MROO	7	TRUE	7	J2981	MWBV	7	FALSE	7	TRUE 	SAME	184.9	170.8	355.7	177.85
